case,sample,wall_time,ros_time,point_count,min_x,max_x,min_y,max_y,final_linear_x,final_linear_y,final_angular_z,odom_x,odom_y,odom_yaw
forward,57,102539.459210853,274.584,1008,-0.38822054424501995,0.3505914007620982,-0.1650055310359135,0.1821094056957034,0.15,0.0,0.0,0.38598806323592233,0.6054893537111904,0.7566703016254694
forward,58,102539.549978966,274.67400000000004,1008,-0.3846138974020301,0.3523142344199514,-0.16333079702549141,0.18678018996336798,0.15,0.0,0.0,0.3925401701271558,0.6052000768858388,0.7824065019272286
forward,59,102539.652525963,274.774,1008,-0.39779138773204925,0.3514749033013898,-0.16265350734905268,0.17085996547323484,0.15,0.0,0.0,0.3926492808832545,0.6188565874511042,0.7934860799810044
forward,60,102539.754190623,274.874,1008,-0.3811060007779012,0.3507015152411772,-0.18876785472429602,0.16454414753333985,0.15,0.0,0.0,0.39249446025415813,0.6369431491564195,0.7912370668086296
turn,1,102542.293433567,277.379,1008,-0.3855383133989154,0.34985757830834274,-0.16477606023309532,0.18702418673445362,0.0,0.0,0.3,0.45685147644691115,0.6649370614143698,0.9329549568143543
turn,2,102542.398467459,277.48400000000004,1008,-0.37671890229130545,0.35165686695247483,-0.16269220769009315,0.19008188413147148,0.0,0.0,0.3,0.4504489839672362,0.6577852883130328,0.9520494448951757
turn,3,102542.499423386,277.584,1008,-0.3858720737866772,0.35047446580093083,-0.1777667834922784,0.16278550309777706,0.0,0.0,0.3,0.4388242519737469,0.6705608986192844,0.9865745799630593
turn,4,102542.593507079,277.67400000000004,1008,-0.38782536068879747,0.350928563996768,-0.1906621939653586,0.16569140837893212,0.0,0.0,0.3,0.42742936835354683,0.6751756379174527,1.0022909229395265
turn,5,102542.703441888,277.784,1008,-0.39415000096320063,0.3523604549673335,-0.17371334467808613,0.1659136058051788,0.0,0.0,0.3,0.4350242448564756,0.6688764442426526,1.0372238863323133
turn,6,102542.802463068,277.884,1008,-0.3866847093335005,0.35172364216103175,-0.16428434326408115,0.1858473193421221,0.0,0.0,0.3,0.4457181346594696,0.6624638206070709,1.0703073483302896
turn,7,102542.903370052,277.97900000000004,1008,-0.37890247301712504,0.35226496012628256,-0.16814096290510097,0.18283927176516482,0.0,0.0,0.3,0.4381998455988659,0.6539658305423816,1.0879561194910836
turn,8,102542.994484514,278.069,1008,-0.3841556558702598,0.34938333171462865,-0.1738623128294176,0.16283929069545236,0.0,0.0,0.3,0.42664856965763925,0.6568956031053418,1.0995287873981494
turn,9,102543.102830041,278.17400000000004,1008,-0.3829086837069152,0.3497022844665756,-0.1911673360496796,0.1662453363856684,0.0,0.0,0.3,0.4126617044656074,0.6568433635584088,1.0946236091890842
turn,10,102543.197494069,278.269,1008,-0.3921131667715545,0.35301016587694667,-0.16957112182819759,0.16580271103609884,0.0,0.0,0.3,0.42547793430870484,0.654449720643646,1.1280164359856817
turn,11,102543.299282969,278.36400000000003,1008,-0.39320937899971486,0.3512672782043485,-0.1670027055771264,0.1783859990054593,0.0,0.0,0.3,0.44645336034479943,0.6518900791696941,1.1591606165814123
turn,12,102543.399232022,278.464,1008,-0.3792939776285411,0.35271812504438527,-0.16596673492981084,0.1879459304176911,0.0,0.0,0.3,0.4423201222128062,0.6413482581417115,1.1635680293720339
turn,13,102543.503699131,278.569,1008,-0.38354782138495336,0.3494583349326502,-0.17251468883815457,0.16319620709929708,0.0,0.0,0.3,0.428243906924913,0.6396299180519268,1.1547966805269296
